feature,marketshare,keystone,days since keystone,reached 80%,days to 80%,reached 85%,days to 85%,reached 90%,days to 90%,reached 91%,days to 91%,reached 92%,days to 92%,reached 93%,days to 93%,reached 94%,days to 94%,reached 95%,days to 95%,reached 96%,days to 96%,reached 97%,days to 97%,reached 98%,days to 98%,reached 99%,days to 99%
internationalization,98.55,2016-09-20,2532,2016-12-03,74,2017-09-04,349,2018-11-06,777,2018-11-06,777,2019-03-16,907,2019-07-27,1040,2019-07-27,1040,2019-07-27,1040,2019-07-27,1040,2020-02-04,1232,2022-07-03,2112,not yet,n/a
intl-pluralrules,96.81,2020-01-15,1320,2020-02-24,40,2020-02-24,40,2020-10-03,262,2020-11-05,295,2021-01-04,355,2021-02-05,387,2021-08-05,568,2022-07-03,900,2023-06-03,1235,not yet,n/a,not yet,n/a,not yet,n/a
js-regexp-lookbehind,85.37,2023-03-27,153,2023-06-03,68,2023-06-03,68,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a,not yet,n/a
justify-content-space-evenly,97.34,2020-01-15,1320,2018-11-06,0,2019-07-05,0,2020-05-25,131,2020-08-04,202,2020-09-04,233,2020-11-05,295,2021-10-03,627,2022-07-03,900,2022-09-19,978,2023-06-03,1235,not yet,n/a,not yet,n/a
kerning-pairs-ligatures,98.43,2018-11-13,1748,2014-11-02,0,2016-07-06,0,2017-05-03,0,2017-09-04,0,2018-11-06,0,2019-03-16,123,2019-07-05,234,2019-10-06,327,2019-12-04,386,2020-05-08,542,2022-07-03,1328,not yet,n/a
keyboardevent-getmodifierstate,98.7,2017-03-27,2344,2017-04-15,19,2017-05-03,37,2017-06-04,69,2017-06-04,69,2017-08-04,130,2017-10-04,191,2017-11-03,221,2018-07-05,465,2019-03-16,719,2020-01-03,1012,2020-04-15,1115,not yet,n/a
keyboardevent-key,98.62,2020-01-15,1320,2018-09-04,0,2019-03-03,0,2020-03-05,50,2020-04-21,97,2020-04-21,97,2020-04-21,97,2020-07-05,172,2020-09-04,233,2021-01-04,355,2021-11-04,659,2023-06-03,1235,not yet,n/a
let,97.68,2017-09-19,2168,2017-09-04,0,2018-02-07,141,2018-02-07,141,2018-02-07,141,2019-07-05,654,2019-09-05,716,2020-01-03,836,2020-05-08,962,2021-11-04,1507,2023-06-03,2083,not yet,n/a,not yet,n/a
link-icon-png,98.82,2018-09-17,1805,2014-11-02,0,2017-03-05,0,2021-08-05,1053,2021-08-05,1053,2021-08-05,1053,2021-08-05,1053,2021-08-05,1053,2021-08-05,1053,2021-08-05,1053,2021-08-05,1053,2021-08-05,1053,not yet,n/a
link-rel-preload,97.4,2021-01-26,943,2019-07-05,0,2020-03-05,0,2021-02-05,10,2021-03-04,37,2021-03-04,37,2021-08-05,191,2021-11-04,282,2022-07-03,523,2022-09-24,606,2023-06-03,858,not yet,n/a,not yet,n/a
localecompare,98.39,2016-12-16,2445,2017-06-27,193,2017-10-05,293,2018-11-06,690,2019-03-03,807,2019-05-03,868,2019-07-27,953,2019-07-27,953,2019-07-27,953,2019-12-04,1083,2020-03-05,1175,2022-07-03,2025,not yet,n/a
matchesselector,97.98,2017-04-11,2329,2012-06-07,0,2018-02-07,302,2018-03-05,328,2018-10-03,540,2018-12-04,602,2019-03-16,704,2019-08-06,847,2020-01-03,997,2020-03-05,1059,2022-07-03,1909,not yet,n/a,not yet,n/a
mediarecorder,96.28,2021-04-26,853,2021-07-04,69,2021-07-04,69,2021-09-04,131,2021-11-04,192,2022-02-04,284,2022-07-03,433,2022-09-19,511,2023-03-03,676,2023-06-03,768,not yet,n/a,not yet,n/a,not yet,n/a
meter,99.27,2017-03-27,2344,2017-01-25,0,2017-05-03,37,2017-06-04,69,2017-07-05,100,2017-08-04,130,2017-10-04,191,2018-01-03,282,2018-06-04,434,2019-07-05,830,2020-02-04,1044,2021-02-05,1411,2023-06-03,2259
object-entries,97.68,2017-10-31,2126,2019-03-17,502,2019-03-17,502,2019-03-17,502,2019-04-03,519,2019-07-05,612,2019-11-04,734,2020-02-04,826,2020-05-08,920,2021-11-04,1465,2023-06-03,2041,not yet,n/a,not yet,n/a
